target,row_count,opposition,relatedness,specificity,toxicity,fluency
MUSLIMS,920,4.981521739130435,4.98695652173913,3.982608695652174,4.981521739130435,4.998913043478261
MIGRANTS,583,4.986277873070326,4.991423670668953,3.993138936535163,4.994854202401372,5.0
WOMEN,498,4.9879518072289155,4.991967871485944,3.997991967871486,4.963855421686747,4.997991967871486
LGBT+,399,4.994987468671679,4.992481203007519,3.982456140350877,4.984962406015038,5.0
JEWS,372,4.997311827956989,4.986559139784946,4.021505376344086,4.991935483870968,5.0
POC,240,4.995833333333334,4.991666666666666,3.9916666666666667,4.970833333333333,5.0
other,174,4.959770114942529,4.982758620689655,3.9655172413793105,4.988505747126437,5.0
DISABLED,127,5.0,5.0,4.0,4.984251968503937,5.0
